"keyword","keywordType","category","subcategory","traffic","categoryRank","mostClickedOrganicAsin","mostClickedSpAsin","firstPageOrganicCoverage","firstPageSpSOV","overallSpSOV","overallSpACOS","overallSbSOV","overallSbACOS","duration"
"berries mix without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","393","B08WLZFLXD","B07X7X8QH6","17.23","8.46","13.42","16.73","29.46","40.56","7days"
"dry berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","401","B08WLZFLXD","B07X7X8QH6","19.86","7.43","8.88","30.63","55.18","83.92","7days"
"black berry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","403","B0B2LMH2TD","B07X7X8QH6","9.28","9.50","9.38","0.00","20.38","0.00","7days"
"cranberry dry fruit without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","1K-5K","408","B08RS69XTJ","B07GR2G678","6.29","2.08","2.90","0.00","23.60","0.00","7days"
"dried cranberries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","545","B07512GYB9","B07GR2G678","13.84","2.94","3.68","7.29","28.93","0.00","7days"
"dried cranberries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","546","B08RS69XTJ","B07GR2G678","10.50","2.50","3.76","0.00","24.43","30.51","7days"
"frozen berries","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","638","B01LXIWNMH","B07X7X8QH6","24.37","6.29","5.59","0.00","30.86","0.00","7days"
"cranberries dried without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","644","B08RC79MN2","B07GR2G678","7.71","2.17","3.08","0.00","25.80","0.00","7days"
"dried berries without sugar","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","665","B08WLZFLXD","B07X7X8QH6","11.69","6.68","8.89","13.43","29.62","0.00","7days"
"mulberry fruit","GENERIC","Grocery-Dried Fruits, Nuts & Seeds","Cranberries","100-1K","745","B096KTHWQ5","B0B1M8PFBN","16.17","0.00","0.00","0.00","55.45","25.61","7days"
